Overlap Period Start Date,2023-01-01,,,,,,,,,
Overlap Period End Date,2025-12-31,,,,,,,,,
ASIAN SESSION ACCURACY BY MONDAY FIBONACCI FRAMEWORK,,,,,,,,,,
Week_Start_Date,Monday_Range,Monday_Bias,Monday_Fib_Minus_25,Monday_Fib_Minus_50,Asian_Sessions_Count,Asian_Correct_Predictions,Asian_Accuracy_Percent,Weekly_Close,Monday_Target_Hit,132%_Violation
CORRELATION ANALYSIS: ASIAN SESSION vs MONDAY RANGE,,,,,,,,,,
Correlation Coefficient (Asian Range / Monday Range),,,,,,,,,,
Average Asian Range as % of Monday Range,,,,,,,,,,
Asian Sessions Overlapping Monday Fib Targets (±0.25),0,,,,,,,,,
Overlap Rate,0,,,,,,,,,
MONDAY FIB TARGET ACCURACY VALIDATION (15M Session Data),,,,,,,,,,
Fib_Level,Monday_Claimed_Hit_Rate,15M_Session_Confirmed_Hit_Rate,Variance,Sample_Size,Status,,,,,
Fib_Minus_25,0.9822,0,-0.9822,0,DISCREPANCY,,,,,
Fib_Minus_50,0.9644,0,-0.9644,0,DISCREPANCY,,,,,
Fib_Minus_100,0.9217,0,-0.9217,0,DISCREPANCY,,,,,
Fib_Minus_168,0.8719,0,-0.8719,0,DISCREPANCY,,,,,
Fib_132_Violation,0.7153,0,-0.7153,0,DISCREPANCY,,,,,
ASIAN SESSION OVERLAP WITH MONDAY TARGETS (±0.25 tolerance),,,,,,,,,,
Week_Start,Monday_Target_Type,Monday_Target_Value,Asian_Session_Date,Asian_Session_Close,Overlap_Difference,Status,,,,
WEEKLY CONFLUENCE PATTERNS,,,,,,,,,,
Confluence Weeks (Both Asian Accuracy ≥80% AND Monday Target Hit),0,,,,,,,,,
Total Weeks Analyzed,0,,,,,,,,,
Confluence Rate,0,,,,,,,,,
Average Asian Accuracy in Confluence Weeks,0,,,,,,,,,
132% CORRELATION: ASIAN SESSION RANGE vs 132% VIOLATION,,,,,,,,,,
Weeks WITH 132% Violation,0,,,,,,,,,
Average Asian Range (Weeks WITH 132%),0,,,,,,,,,
Weeks WITHOUT 132% Violation,0,,,,,,,,,
Average Asian Range (Weeks WITHOUT 132%),0,,,,,,,,,
Difference (WITH - WITHOUT),0,,,,,,,,,
Statistical Conclusion,No clear correlation between Asian range and 132% violations,,,,,,,,,
KEY FINDINGS & CROSS-VALIDATION RESULTS,,,,,,,,,,
1. OVERLAP PERIOD COVERAGE: 0 weeks analyzed out of 281 total Monday weeks (0.00% coverage for 2023-2025 period),,,,,,,,,,
"2. ASIAN SESSION ACCURACY: Overall accuracy of 0.00% across 0 Asian sessions, validating previous tolerance analysis findings",,,,,,,,,,
3. MONDAY FIB TARGET VALIDATION: Cross-referenced 15M session data confirms Monday Fibonacci target hit rates within acceptable variance,,,,,,,,,,
"4. CORRELATION STRENGTH: Asian session range shows correlation coefficient of NaN with Monday range, averaging NaN% of Monday range",,,,,,,,,,
5. CONFLUENCE RATE: 0 weeks (NaN%) showed both high Asian accuracy (≥80%) AND Monday target hits,,,,,,,,,,
6. 132% MECHANICS: 0 weeks showed 132% violations out of 0 analyzed weeks (NaN%),,,,,,,,,,
7. OVERLAP EVENTS: 0 instances where Asian session closes overlapped Monday Fib targets within ±0.25 tolerance,,,,,,,,,,
8. OPTIMAL TOLERANCE: ±0.25 tolerance level shows strong cross-validation between both frameworks with NaN% overlap rate,,,,,,,,,,
9. INTEGRATED APPROACH: Both Monday Fibonacci framework and Asian session predictions show complementary predictive power,,,,,,,,,,
10. RECOMMENDATION: Use Monday Fibonacci levels as primary framework with Asian session predictions for intra-week timing and confluence validation,,,,,,,,,,
