mechanism_id,description,observed_state,constraint,expected_resolution_path,supporting_assets,event_count,effect_size,stability,null_comparison,failure_modes,data_limitations,status
MECH-01-SPOT_PERP_CONVERGENCE,Perp-spot basis dislocations resolve by convergence rather than expansion,|perp-spot basis| > p90; 378 episodes; resolution rate 0.995 vs block-shuffle null 0.995,arbitrage capital binds perp to spot within a band,basis returns inside normal band,"BTC, ETH",378,0.0,cross-asset agreement,block-shuffle null mean 0.995,censored episodes at series end; short window,perp 1h history ~7 months,WEAK_MECHANISM
MECH-02-FUNDING_CROWDING_UNWIND,Extreme funding (crowding) precedes or accompanies basis stress,"funding p95 |rate| 0.69 bps; corr(funding,premium)=0.76; funding inside-vs-outside dislocation: BTC -0.13122649174156537 bps, ETH -0.15679315965358412 bps",crowded positioning pays funding until unwound,funding mean-reverts after extreme values,"BTC, ETH",28175,0.7628,deep 3.3y sample,unconditional funding change,"funding premium proxy, not direct mark-index series",premium field is mark-index displacement proxy; snapshots for true mark/index,SUPPORTED_MECHANISM
MECH-03-OI_EXPANSION_CONTINUATION,New leverage (OI up) accompanies continuation,not observable on frozen data (OI snapshots only),n/a,n/a,n/a,0,,,,,OI time series NOT available in frozen DATA-1 freeze,INSUFFICIENT_EVIDENCE
MECH-04-OI_CONTRACTION_RESOLUTION,Position unwinding (OI down) resolves dislocations,not observable on frozen data (OI snapshots only),n/a,n/a,n/a,0,,,,,OI time series NOT available in frozen DATA-1 freeze,INSUFFICIENT_EVIDENCE
MECH-05-MARK_INDEX_STRESS,Mark-index displacement signals stress,premium p95 10.00 bps; snapshot mark-index basis -0.3097 bps,mark tracks index; displacement = funding pressure,premium mean-reverts,"BTC, ETH",28175,0.9618,deep 3.3y premium series,unconditional premium change,premium is proxy; true mark/index snapshots only,premium field populated in funding history; mark/index snapshots only,SUPPORTED_MECHANISM
MECH-06-AMM_REPRICE_LAG,AMM repricing lags centralized perp during fast moves,AMM-perp basis aligned on 241 5m buckets (pilot),AMM reprice via arbitrage vs CEX,AMM converges to perp/spot,"ETH (WETH/USDC), BTC (WBTC/USDC), BASE (WETH/USDC)",241,,days only,,short windows; no long-history validation,AMM windows are days not years (PILOT_MECHANISM_EVIDENCE),WEAK_MECHANISM
MECH-07-AMM_FLOW_CONFIRMATION,AMM signed flow confirms direction of basis stress,"corr(basis, signed flow) per pool; positive flow pct in AMM anatomy",pool flow = informed or rebalancing order flow,flow leads price reconciliation,"ETH, BASE",241,,days only,,short windows; router/aggregator noise,PILOT_MECHANISM_EVIDENCE; days not years,WEAK_MECHANISM
MECH-08-BTC_ETH_CAPITAL_ROTATION,BTC and ETH dislocate together or sequentially,cross-state table (both/only-BTC/only-ETH elevated),"shared macro capital, relative strength rotates",lead/lag alignment,"BTC, ETH",,,,,,basis lane short; funding deep,CONDITIONAL_MECHANISM
MECH-09-VOLATILITY_STATE_TRANSITION,Volatility regime conditions resolution speed,epoch/survival tables,regime persistence,state-dependent resolution,"BTC, ETH",,,,vol-matched random timestamps,,basis lane short,CONDITIONAL_MECHANISM
MECH-10-TIME_EPOCH_RESOLUTION,Resolution behavior differs by time epoch (24/7),time-epoch anatomy table,liquidity provision varies across epochs,epoch-dependent resolution,"BTC, ETH",,,,,,descriptive partition only; no session rules assumed,CONDITIONAL_MECHANISM
