Analysis,Metric,Result,Sample_Size,Status,,,
Daily Range Capture by 12 PM EST,Both Hi/Lo by noon,36.0%,100,HYPOTHESIS REJECTED,,,
Daily Range Capture by 12 PM EST,High by noon only,71.0%,100,INCOMPLETE,,,
Daily Range Capture by 12 PM EST,Low by noon only,60.0%,100,INCOMPLETE,,,
Daily Range Capture by 12 PM EST,Average range captured,82.2%,100,STRONG MAJORITY,,,
Afternoon Delivery Windows,Days requiring afternoon completion,64.0%,64,MAJORITY PATTERN,,,
Afternoon Delivery Windows,Average afternoon high time,17:00 EST,29,NY LATE SESSION,,,
Afternoon Delivery Windows,Average afternoon low time,18:00 EST,40,NY CLOSE PROXIMITY,,,
PHASE 3 COMPONENT DIRECTORY,,,,,,,
Component,Key Metrics,Sample Size,Primary Finding,Status,Link,Notes,
PHASE 3B - FIB BEHAVIOR,"796 level hits, pullbacks 24-29 pips",796 hits,Consistent pullback range,✓ Complete,,Fibonacci behavior,
PHASE 3C - TEMPORAL LENS,"Fast 4.1%, Normal 80.3%, Slow 15.6%",796 deliveries,Delivery speed categorized,✓ Complete,,Delivery timing,
PHASE 3D - FIB SEQUENCES,"103 patterns, 132%→168% dominant 87.4%",103 patterns,Extension sequences mapped,✓ Complete,,Sequence patterns,
PHASE 3E - NY OPEN RANGE,"1,078 days, 22.8 pips avg range","1,078 days",NY session characteristics,✓ Complete,,NY session data,
PHASE 3F - LONDON DECAY,"215 Mondays, 87.8% hits before 9 AM",215 days,Morning momentum validated,✓ Complete,,London decay analysis,
WINDOW-SPECIFIC HIT RATE ANALYSIS,,,,,,,
Window (EST),-25% Hit,-50% Hit,-100% Hit,-168% Hit,132% Viol,Risk Level,Notes
2-6 AM EST,0.924,0.886,0.878,0.423,0.281,LOW,"Best -100% window, Lowest 132%"
6-9 AM EST,0.878,0.821,0.831,0.542,0.353,MEDIUM,London-NY transition
9-12 PM EST,0.723,0.745,0.723,0.726,0.428,HIGH,Increased violation risk
12-4 PM EST,0.646,0.684,0.646,0.871,0.473,HIGH,"NY afternoon, deep targets only"
KEY FINDINGS,,,,,,,
✓ BEST WINDOW FOR -100% TARGET: 2-6 AM EST (87.8% hit rate),,,,,,,
✓ LOWEST 132% VIOLATION WINDOW: 2-6 AM EST (28.1%),,,,,,,
"✓ Risk increases progressively through the day, peaking during NY session",,,,,,,
✓ London-NY transition (6-9 AM) shows balanced performance across all targets,,,,,,,
DAILY RANGE CAPTURE BY 12 PM EST,,,,,,,
Hypothesis:,80% of daily range captured by 12 PM EST,,,,,,
Result:,CONFIRMED ✅,,,,,,
Metric,Value,Interpretation,,,,,
Average Range Captured,0.822,82.2% of daily range formed by noon,,,,,
High by Noon Only,0.71,71% of days reach daily high before noon,,,,,
Low by Noon Only,0.6,60% of days reach daily low before noon,,,,,
Both Hi/Lo by Noon,0.36,36% of days complete full range by noon,,,,,
Days Requiring Afternoon,0.64,64% need afternoon session for completion,,,,,
