provider_id,sensor_family,venue_market,instrument_scope,access_mode,2021,2022,2024,2026,recent_status,earliest_verified_history,latest_verified_history,granularity_scope,PIT_readiness,unit_clarity,pagination_quality,schema_stability,semantic_equivalence_class,evidence_level,provider_role,capability_score,promotion_eligible,blocking_reason
BINANCE_USDM,MECHANICAL_BOOK_SNAPSHOT,BINANCE_USDM,BTCUSDT,PUBLIC_REST,CURRENT_ONLY,CURRENT_ONLY,CURRENT_ONLY,CURRENT_ONLY,GEO_BLOCKED,,,BOOK_SNAPSHOT,NOT_PIT_READY,,,,,E0_CLAIM_ONLY,REFERENCE_ONLY,,FALSE,CURRENT_ONLY surface (no historical window to verify)
BINANCE_USDM,MECHANICAL_FUNDING,BINANCE_USDM,BTCUSDT,PUBLIC_REST,GEO_BLOCKED,GEO_BLOCKED,GEO_BLOCKED,GEO_BLOCKED,GEO_BLOCKED,,,1h,NOT_PIT_READY,,,,,E0_CLAIM_ONLY,REFERENCE_ONLY,,FALSE,surface geo-blocked from operator region (no bypass)
BINANCE_USDM,MECHANICAL_OPEN_INTEREST,BINANCE_USDM,BTCUSDT,PUBLIC_REST,VERIFIED,VERIFIED,VERIFIED,VERIFIED,GEO_BLOCKED,2021-06-15T00:00:00Z,2026-06-15T00:00:00Z,1h,NOT_PIT_READY,,,,,E4_MULTI_ERA_VERIFIED,REFERENCE_ONLY,,FALSE,
BINANCE_USDM,MECHANICAL_TRADE,BINANCE_USDM,BTCUSDT,PUBLIC_REST,VERIFIED,VERIFIED,VERIFIED,VERIFIED,GEO_BLOCKED,2021-06-15T00:00:00Z,2026-06-15T00:00:00Z,RAW_EVENT,NOT_PIT_READY,,,,,E4_MULTI_ERA_VERIFIED,REFERENCE_ONLY,,FALSE,
BITFINEX_COMMUNITY_ARCHIVE,MECHANICAL_LIQUIDATION,BITFINEX_COMMUNITY_ARCHIVE,BTC,COMMUNITY_ARCHIVE,UNATTEMPTED,UNATTEMPTED,UNATTEMPTED,UNATTEMPTED,VERIFIED,2026-08-23T14:55:12.370177Z,2026-08-23T14:55:12.370177Z,1h,NOT_PIT_READY,,,,,E2_LIVE_RECENT_VERIFIED,REFERENCE_ONLY,,FALSE,
BYBIT_LINEAR,MECHANICAL_BOOK_SNAPSHOT,BYBIT_LINEAR,BTCUSDT,PUBLIC_REST,CURRENT_ONLY,CURRENT_ONLY,CURRENT_ONLY,CURRENT_ONLY,GEO_BLOCKED,,,BOOK_SNAPSHOT,NOT_PIT_READY,,,,,E0_CLAIM_ONLY,REFERENCE_ONLY,,FALSE,CURRENT_ONLY surface (no historical window to verify)
BYBIT_LINEAR,MECHANICAL_FUNDING,BYBIT_LINEAR,BTCUSDT,PUBLIC_REST,GEO_BLOCKED,GEO_BLOCKED,GEO_BLOCKED,GEO_BLOCKED,GEO_BLOCKED,,,1h,NOT_PIT_READY,,,,,E0_CLAIM_ONLY,REFERENCE_ONLY,,FALSE,surface geo-blocked from operator region (no bypass)
BYBIT_LINEAR,MECHANICAL_OPEN_INTEREST,BYBIT_LINEAR,BTCUSDT,PUBLIC_REST,GEO_BLOCKED,GEO_BLOCKED,GEO_BLOCKED,GEO_BLOCKED,GEO_BLOCKED,,,1h,NOT_PIT_READY,,,,,E0_CLAIM_ONLY,REFERENCE_ONLY,,FALSE,surface geo-blocked from operator region (no bypass)
BYBIT_LINEAR,MECHANICAL_TRADE,BYBIT_LINEAR,BTCUSDT,PUBLIC_REST,CURRENT_ONLY,CURRENT_ONLY,CURRENT_ONLY,CURRENT_ONLY,GEO_BLOCKED,,,RAW_EVENT,NOT_PIT_READY,,,,,E0_CLAIM_ONLY,REFERENCE_ONLY,,FALSE,CURRENT_ONLY surface (no historical window to verify)
COINALYZE,MECHANICAL_FUNDING,COINALYZE,BTCUSDT_PERP.BINANCE,FREE_API_KEY,UNATTEMPTED,UNATTEMPTED,UNATTEMPTED,UNATTEMPTED,UNVERIFIED,,,1h,NOT_PIT_READY,,,,,E0_CLAIM_ONLY,REFERENCE_ONLY,,FALSE,CREDENTIAL_NOT_CONFIGURED (free key not configured locally)
