strategy_id,family_id,mechanism_hypothesis,execution_object,direction_logic,gross_EV,net_EV,gross_PF,net_PF,effective_events,dominant_failure_modes,mechanism_support,gen1_expression_support,failure_diagnosis,payoff_mismatch_candidate
ALPHA1_S001,FAM_A,EXTREME_NEGATIVE_BASIS_DISLOCATION,perp,long_perp_when_extreme_neg_basis,-1.006,-5.9264,0.9633,0.8023,169,"NO_GROSS_EDGE,F10,F12",NOT_SUPPORTED,FALSIFIED,NO_MECHANISM_EDGE.directional_perp_not_carried_by_basis_state,DIRECTIONAL_PERP
ALPHA1_S002,FAM_A,EXTREME_NEGATIVE_BASIS_DISLOCATION,spot+perp_hedge,long_perp_short_spot_capture_basis,13.4466,1.2813,1.1841,1.0163,94,"F6,F7",SUPPORTED,WEAK,GROSS_EDGE_EXISTS_BUT_CONCENTRATED_BY_MONTH_AND_EPISODE,SPOT_PERP_BASIS
ALPHA1_S003,FAM_A,EXTREME_NEGATIVE_BASIS_DISLOCATION,perp,long_perp_on_basis_transition,5.1553,0.2398,1.2197,1.0093,96,"F6,F7,F10",SUPPORTED,WEAK,GROSS_EDGE_EXISTS_BUT_CONCENTRATED_PLUS_TIMING_FAILURE,DIRECTIONAL_PERP
ALPHA1_S004,FAM_B,NEGATIVE_BASIS_CROWDING_CONFIRMED,perp,long_perp_negative_basis_plus_funding,0.5535,-4.2389,1.0171,0.8777,143,"F3",WEAK,FALSIFIED,GROSS_EDGE_NEARLY_DESTROYED_BY_COSTS_ADDING_FUNDING_DOES_NOT_HELP,DIRECTIONAL_PERP
ALPHA1_S005,FAM_B,NEGATIVE_BASIS_CROWDING_CONFIRMED,perp,long_perp_negative_basis_persistent_crowding,-6.9089,-10.9474,0.8478,0.7702,30,"F3,F4,F6,F7,F8",NOT_SUPPORTED,FALSIFIED,NO_GROSS_EDGE_STATE_DOES_NOT_SIGNAL_DIRECTION,STAND_DOWN_FILTER
ALPHA1_S006,FAM_B,NEGATIVE_BASIS_CROWDING_CONFIRMED,perp,long_perp_negative_basis_funding_acceleration,-17.2849,-21.4715,0.6561,0.5908,25,"F3,F4,F7",NOT_SUPPORTED,FALSIFIED,SEVERE_LOSS_NO_MECHANISM_EDGE,STAND_DOWN_FILTER
ALPHA1_S007,FAM_C,BASIS_FUNDING_VOLATILITY_COMPOSITE,perp,long_perp_extreme_basis_neg_funding_normal_vol,3.0476,-1.7479,1.082,0.9558,62,"F3,F6,F7",WEAK,FALSIFIED,GROSS_EDGE_EXISTS_BUT_COST_AND_CONCENTRATION_DESTROY_IT,SPOT_PERP_BASIS
ALPHA1_S008,FAM_C,BASIS_FUNDING_VOLATILITY_COMPOSITE,spot+perp_hedge,hedge_extreme_basis_neg_funding_normal_vol,-9.1802,-21.3293,0.8131,0.622,22,"F3,F4",NOT_SUPPORTED,FALSIFIED,NO_GROSS_EDGE_HEDGE_FORMAT_DOES_NOT_HELP,SPOT_PERP_BASIS
ALPHA1_S009,FAM_D,ETH_LED_RELATIVE_DISLOCATION,perp,long_ETH_perp_when_ETH_leads,-7.4643,-12.2882,0.8153,0.7133,133,"F3,F4",NOT_SUPPORTED,FALSIFIED,NO_MECHANISM_EDGE_ETH_LEAD_DOES_NOT_SIGNAL_DIRECTION,DIRECTIONAL_PERP
ALPHA1_S010,FAM_D,ETH_LED_RELATIVE_DISLOCATION,perp,long_ETH_perp_when_ETH_specific,0.5856,-11.8191,1.0159,0.7292,138,"F3",WEAK,FALSIFIED,TINY_GROSS_EDGE_DESTROYED_BY_COSTS_STALE_SIGNAL,STAND_DOWN_FILTER
ALPHA1_S011,FAM_E,NORMAL_BASIS_EXTREME_FUNDING_PRE_DISLOCATION,perp,long_perp_extreme_funding_normal_basis,4.7628,-0.1881,1.2215,0.9922,70,"F3,F6,F7,F10,F8",SUPPORTED,WEAK,GROSS_EDGE_NEARLY_BREAKS_EVEN_ADDING_BASIS_KILLS_EDGE_VS_C005,FUNDING_CARRY
ALPHA1_S012,FAM_E,NORMAL_BASIS_EXTREME_FUNDING_PRE_DISLOCATION,spot+perp_hedge,hedge_extreme_funding_normal_basis,7.9033,-4.4791,1.259,0.88,66,"F3,F6,F7,F10,F8",SUPPORTED,FALSIFIED,GOOD_GROSS_BUT_HEDGE_COST_DESTROYS_EDGE_VS_C005,FUNDING_CARRY
ALPHA1_S013,FAM_X,CONTROL_NORMAL_BASIS,perp,long_perp_normal_basis,3.9431,-1.1774,1.1343,0.9633,123,"F3,F6,F7",SUPPORTED,FALSIFIED,CONTROL_BASELINE_GROSS_EDGE_EXISTS_BUT_COST_DESTROYED,STAND_DOWN_FILTER
