node,type,status,note
4-STATE BREADTH x DISPERSION,GLOBAL_STATE,EARNED,HH/HL/LH/LL with age + clocks
STATE x AGE INTERACTION,COORDINATE,EARNED,WS2 STATE_AGE_INTERACTION
AGE-RESIDUALIZED CONSTRAINT-ENTROPY,COORDINATE,EARNED,WS4 ENTROPY_INDEPENDENT_COORDINATE
BRANCH-CLOSURE,COORDINATE,LOCAL_NODE,time carries info because branches disappear
INITIATION EQUIFINALITY,LOCAL,EARNED,multiple minimal viable configurations
INITIATION ARCHETYPES,LOCAL,EARNED,archetype geometry x entropy x direction
INITIATION SUBSTITUTION GRAPH,GRAPH,EARNED,observables as alternate sensors (cluster)
WATERFALL SUBTYPES,SEQUENCE,REPAIRED,n_subperiods corrected; NAMED_SUBTYPE valid
PATCH RESPONSE,LOCAL,EVALUATED,patch-specific responses (common forcing negative)
FIELD FORCING COORDINATE,LOCAL,EARNED,WS13 COMPACT_FORCING_COORDINATE
SATURATION GEOMETRY,LOCAL,LOCAL_NODE,capacity boundary per patch/state
DIRECTIONAL CONSTRAINT,ASYMMETRY,EARNED,sign emerges as accumulated constraint (2nd order)
UPSIDE PERMISSION,ASYMMETRY,LOCAL_NODE,WS17 PERMISSION_MULTI_COORDINATE
DOWNSIDE LOCALIZATION,ASYMMETRY,LOCAL_NODE,downside globally neutral; local species
DISTURBANCE->ABSORPTION->RESIDUAL,DISTURBANCE,PILOT,WS20 DAR_FRAMING_COMPARABLE_TO_SHOCK_ALONE
POTENTIAL/REALIZATION,PATH,KEEP_LOCAL,distinct local paths (not merged)
