object,os_role,action,note
ROAD_TOPOLOGY_4STATE,STRUCTURAL_CORE,FREEZE,carried; not reopened in MECH-19
EDGE_REGISTRY_93,STRUCTURAL_CORE,FREEZE,MECH-18 93-edge registry
MULTI_FORCING_FAMILY,ADAPTIVE_LAW,PROMOTE,deep primitives/signatures round 2
ROUTE_COMMITMENT,ADAPTIVE_LAW,PROMOTE,commitment gradient from p1 vs reopening
PRESSURE_CONCENTRATION,ADAPTIVE_LAW,PROMOTE,mechanics localized per state
EDGE_PRUNING,ADAPTIVE_LAW,PROMOTE,resolution mechanism; see 05
CONCENTRATION_PHASES,ADAPTIVE_LAW,LOCAL,gradient > discrete phases recommend
RESPONSE_NODES,ADAPTIVE_LAW,PROMOTE,coupling/PCA geometry; see 12-14
SATURATION_WITHOUT_DELIVERY,LOCAL_PHYSICS,PROMOTE,matched without-delivery anatomy; see 16
THRESHOLD_INVERSION,ADAPTIVE_LAW,LOCAL,species taxonomy; see 18
DEEP_RANK_HYSTERESIS,LOCAL_PHYSICS,LOCAL,survival range; see 19-20
BIRTH_FAILURE_MECHANISM,ADAPTIVE_LAW,PROMOTE,demand-overload in unresolved route set
LOAD_COMMITMENT_MISMATCH,ADAPTIVE_LAW,LOCAL,candidate; see 22
POTENTIAL_REALIZATION,ADAPTIVE_LAW,PROMOTE,parallel constraints + lattice; see 24-27
FAILURE_MOTIFS,ADAPTIVE_LAW,LOCAL,distinctness; see 26
2022_STRUCTURAL_SCAR,RESEARCH_ONLY,PROMOTE,survives unclamped repair; see 28-31
GLOBAL_MEMORY_KERNEL,CONTEXT_ONLY,DISSOLVE,not re-earned; carried gone
UNIVERSAL_STATE_AGE,CONTEXT_ONLY,DISSOLVE,remains dead
