path,current_responsibility,strategy_specific,broker_specific,account_specific,generic_candidate,recommended_action,target_module,migration_risk,tb_regression_requirement,notes
quant-lab/runtime/tb_runtime_config.py,Paths + deployment profiles + supervisor knobs + identity gate constants + symbols + magics + execution gates,partial,no,yes,partial,MAKE_CONFIGURABLE,quant-lab/runtime/runtime_profile.py,LOW,"profiles, gates, symbols, magics unchanged","Split into machine profile (local_windows/windows_vps) vs runtime profile (runtime_id). Move identity gate constants + symbols + magics into AccountRegistry/StrategyAccountBinding. Execution gates stay generic runtime config."
quant-lab/runtime/tb_supervisor.py,Worker process lifecycle owner (spawn/backoff/heartbeat/desired-state/singleton),no,no,no,yes,EXTRACT_GENERIC,quant-lab/runtime/supervisor.py,MEDIUM,"supervisor parity: same spawn/backoff/heartbeat semantics for TB","Pure generic. Parameterize worker entrypoint + pid/heartbeat sources per runtime_id. No strategy/broker/account logic."
quant-lab/runtime/tb_worker.py,Strategy/data/execution/persistence process (orchestration),yes,yes,yes,partial,WRAP_INTERFACE,quant-lab/runtime/generic_worker.py,HIGH,"TB worker reproduces identical lifecycle end-to-end","Split into generic runtime loop + TB StrategyAdapter + BrokerSession + CapitalPolicyAdapter. Direct MT5 calls move behind BrokerSession; strategy engine injected."
quant-lab/runtime/tb_runtime_db.py,Runtime status/heartbeat/errors/NAV SQLite store,partial,no,no,yes,EXTRACT_GENERIC,quant-lab/runtime/runtime_db.py,LOW,"RuntimeDB schema equivalence for TB keys","Genericize heartbeat columns behind a runtime_id + optional strategy fields. TB-specific open_basket_id becomes a strategy-scoped status field."
quant-lab/runtime/tb_proc.py,PID singleton + detached spawn helpers,no,no,no,yes,EXTRACT_GENERIC,quant-lab/runtime/proc.py,LOW,"identical singleton + reclaim behavior","Generic as-is. Keep PID-file singleton (never OS-level primitives)."
quant-lab/runtime/tb_dashboard.py,Read-only localhost HTTP dashboard over RuntimeDB,partial,no,no,yes,EXTRACT_GENERIC,quant-lab/runtime/dashboard.py,MEDIUM,"dashboard PnL semantics unchanged for TB","Genericize to a fleet dashboard keyed by runtime_id; keep TB-specific PnL labels behind per-strategy metadata."
quant-lab/runtime/tbctl.py,Control CLI (status/start/stop/restart),partial,no,no,yes,EXTRACT_GENERIC,quant-lab/runtime/ctl.py,LOW,"start/stop/restart/desired-state parity","Genericize; TB display strings (REQUIRED_SERVER, basket, TB PnL) move to profile metadata."
quant-lab/runtime/DEPLOYMENT_PROFILES.md,Deployment profile documentation,no,no,no,yes,KEEP_TB,quant-lab/runtime/DEPLOYMENT_PROFILES.md,LOW,"no change","Superseded by machine/runtime profile split in R1 docs; keep as TB reference until then."
quant-lab/tb_live/market_data.py,Typed fail-closed market-data contract + config + validators,partial,no,no,yes,EXTRACT_GENERIC,quant-lab/live/market_data.py,LOW,"parity of snapshot validation + failure codes","Required symbols and bar_seconds are configurable; TB defaults remain. Contains no broker calls and no strategy math."
quant-lab/tb_live/snapshot.py,Data-only adapter Protocol + MT5/Mock adapters + synchronized feed,yes,yes,no,partial,WRAP_INTERFACE,quant-lab/live/snapshot.py + quant-lab/brokers/mt5/data_adapter.py,HIGH,"triangular feed parity (signal + execution snapshots)","Split MT5MarketDataAdapter into MT5 BrokerSession (data facet). SynchronizedTriangleFeed is TB-triangular-specific; a generic synchronized-feed base can be extracted."
quant-lab/tb_live/state_machine.py,Frozen basket lifecycle transition graph,yes,no,no,partial,KEEP_TB,quant-lab/live/state_machine.py (pattern only),LOW,"no transition graph change","TB basket states (BROKEN_HEDGE/FLATTENING) are triangular-specific. Extract the generic transition-graph enforcement pattern only; do not rename TB states."
quant-lab/tb_live/persistence.py,Append-only event ledger (BasketLedger),no,no,no,yes,EXTRACT_GENERIC,quant-lab/live/event_ledger.py,MEDIUM,"identical ledger integrity + idempotency + reconstruction","Fully generic (dedup key, payload hash, transition validation, derived cache). Parameterize the transition validator + event type registry."
quant-lab/tb_live/reconciliation.py,Broker/local reconciler + ownership rule,partial,no,no,yes,EXTRACT_GENERIC,quant-lab/live/reconciliation.py,MEDIUM,"identical classification + ownership outcomes for TB","Generic pattern (MATCHED/BROKER_ONLY/LOCAL_ONLY/PARTIAL/ORPHAN/UNKNOWN). TB magic + comment token parsing become injectable ownership extractors."
quant-lab/tb_live/full_engine.py,Deterministic full-engine harness + translate_intent,partial,no,no,yes,WRAP_INTERFACE,quant-lab/live/full_engine_harness.py,LOW,"harness parity (all-fill/reject/placed-not-filled/timeout/spread/wrong-side/wrong-size)","translate_intent carries a FIXED basket notional; generic path must accept account-equity-denominated notional from CapitalPolicyAdapter. Harness itself is generic orchestration + FakeBroker."
quant-lab/engines/tb_forward_config.py,Frozen StrategyModelConfig (PRIMARY/CONTROL thresholds),yes,no,no,no,DO_NOT_TOUCH,quant-lab/engines/tb_forward_config.py,NONE,"byte-identical strategy config","Sealed TB strategy science. Do not modify."
quant-lab/engines/triangular_basis_engine.py,Triangular basis/z math (sealed),yes,no,no,no,DO_NOT_TOUCH,quant-lab/engines/triangular_basis_engine.py,NONE,"signal parity (194 primary / 405 control events)","Sealed TB strategy science. Do not modify."
quant-lab/engines/triangular_basis_live.py,Live strategy engine (BasketDecision/BasketIntent),yes,no,no,no,KEEP_TB,quant-lab/strategies/tb/adapter.py,HIGH,"identical OPEN/CLOSE decisions per bar","This is the TB StrategyAdapter's produce_decision implementation. Keep math sealed; expose it through the generic StrategyAdapter contract in R3/R4."
quant-lab/engines/triangular_execution_contract.py,Execution intent types + notional/lot translation,yes,partial,partial,partial,WRAP_INTERFACE,quant-lab/live/execution_contract.py,MEDIUM,"identical weight->notional->lots results for TB","BrokerLegIntent/BasketExecutionIntent are TB-triangular-shaped; ContractSpec/model_weight_to_notional/notional_to_mt5_lots are generic and reusable. AccountSpec is currently unused in the notional path."
quant-lab/engines/tb_r6_demo_canary.py,DemoEnvironment (identity gate) + quote health + broker truth + order-send accounting + demo harness,yes,yes,yes,partial,WRAP_INTERFACE,quant-lab/brokers/mt5/session.py + quant-lab/accounts/identity_gate.py + quant-lab/accounts/registry.py,HIGH,"identity gate + quote gates + broker truth + order-send accounting parity","This file mixes the MT5 environment/identity gate (account-profile concern) with the demo canary harness (test concern). Split into MT5 BrokerSession, generic identity gate, and a test-harness-only canary."
quant-lab/mt5/triangular_execution_layer.py,Atomic 3-leg basket execution (order_check/order_send),yes,yes,no,partial,WRAP_INTERFACE,quant-lab/brokers/mt5/execution.py + quant-lab/strategies/tb/execution.py,HIGH,"atomic basket open/close/partial-fill/flatten parity","Split the generic order-intent lifecycle (PENDING/PRECHECK/SENDING/VERIFYING/OPEN/CLOSING/CLOSED) from the TB 3-leg basket-specific sizing/neutrality/leg-sides. Direct mt5.* calls move behind MT5BrokerSession."
quant-lab/mt5/execution_layer.py,Legacy symmetry-trap MT5 executor (ST_ magic/comment),no,yes,no,no,DEFER,quant-lab/brokers/mt5/legacy/execution_layer.py,LOW,"not part of TB regression","Legacy, not the TB runtime path. Defer; do not migrate now."
quant-lab/mt5/symmetry_trap_executor*.py,Legacy symmetry-trap executors,no,yes,no,no,DEFER,n/a,LOW,"not part of TB regression","Legacy/parallel. Defer."
quant-lab/mt5/p90_*.py,Legacy P90 executors/scanners,no,yes,no,no,DEFER,n/a,LOW,"not part of TB regression","Legacy/parallel. Defer."
quant-lab/mt5/production_runtime.py,Legacy production runtime,no,yes,no,no,DO_NOT_TOUCH,n/a,NONE,"no regression expected","Contains legacy production path; out of scope and must not be activated. Leave untouched."
