node,operation,evidence,status
MULTI_SCALE_DELIVERY_LATTICE,PROMOTE,per-cell x age x horizon delivery/exit/reentry clocks (02),DESCRIPTIVE_EARNED
SEQUENCE_GRAMMAR,PROMOTE,WS2 atom order,3 COMMON sequences
SEMI_MARKOV,MERGE,WS3 audit,MARKOV_SUFFICIENT
COMPETING_RISK_CLOCKS,PROMOTE,WS4,MASS_SHIFT_EARNED
PERTURBATION_AMPLITUDE,EVALUATE,WS5,PENDING
PROPAGATION_RADIUS,DESCRIPTIVE,WS6,LOCAL
RANK_DEPTH_SEQUENCES,EVALUATE,WS7,PENDING
RANK_PATCH_GEOMETRY,EVALUATE,WS8/9,PENDING
LONER_FIELD_CONTEXT,PROMOTE,WS10,DISTINCT_GEOMETRY
SIGMA_RECOVERY_LATTICE,EVALUATE,WS11,PENDING
HEALTH_DEFINITIONS,KEEP,WS12 reconciliation,DOCUMENTED
HEALTH_TRANSITION_LATTICE,EVALUATE,WS13,PENDING
FAILURE_MIRRORS,EVALUATE,WS14,PENDING
SHMC_SHHM,KEEP_LOCAL,WS15,LOCAL
VOLATILITY,KEEP,WS16,INTENSITY_ONLY
CHAIN_ACTIVITY,KEEP,WS17,DESCRIPTIVE_SENSOR
