layer,variable,sustained_normalization,days_after_peak,verdict
SURFACE,propagation,2022-02-27,1,SURFACE_PRECEDED_LAW
SURFACE,reentry,2022-02-27,1,SURFACE_PRECEDED_LAW
SURFACE,volatility,2022-03-05,7,SURFACE_PRECEDED_LAW
SURFACE,breadth,2022-02-27,1,SURFACE_PRECEDED_LAW
SURFACE,demand,2022-03-12,14,SURFACE_PRECEDED_LAW
LAW,slope_FIELD,2022-02-27,1,SURFACE_PRECEDED_LAW
LAW,ceiling_FIELD,2022-05-10,73,SURFACE_PRECEDED_LAW
LAW,onset_FIELD,2022-06-28,122,SURFACE_PRECEDED_LAW
LAW,slope_patch_mean,2022-02-27,1,SURFACE_PRECEDED_LAW
LAW,ceiling_patch_mean,2022-04-27,60,SURFACE_PRECEDED_LAW
LAW,onset_patch_mean,2022-06-24,118,SURFACE_PRECEDED_LAW
LAW,exit_entropy,2022-02-27,1,SURFACE_PRECEDED_LAW
LAW,exit_p1,2022-02-27,1,SURFACE_PRECEDED_LAW
LAW,recruitment,2022-03-22,24,SURFACE_PRECEDED_LAW
