provider,cost_class,api_key_required,row_limits,rate_limits,historical_depth,commercial_restrictions,bulk_download,web_only,api_access,notes
CoinMarketCap,FREE_LIMITED,no (data-api); Pro API key for official API,500 rows verified per snapshot; deeper untested,~1 req/s observed,PIT snapshots any date (verified 5 dates); per-coin historical recent-only via data-api,web scraping TOS applies to internal endpoints,no,internal data-api (web) + Pro API (paid),"API (Pro, paid)",internal data-api used by website works keyless from this env
CoinPaprika,FREE_LIMITED,optional free key,"61,115 coins list; 20 tickers per page",keyless 15/min (docs),1-year rolling daily window; deep history PAID (402),free tier limits apply,no,no,API,historical rank requires paid tier (rank absent from free historical rows)
CoinGecko,FREE_LIMITED,demo key recommended; no-key unstable,coins/markets 250/page,no-key throttled (401/429 observed),365-day cap on market_chart (error 10012),free tier limits,no,no,API,public API now effectively requires demo key
DexScreener,FREE_CONFIRMED,no,token/pairs endpoints,unknown,current only; pairCreatedAt,none observed,no,no,API,UNREACHABLE_FROM_ENV in this session (read timeouts)
DexPaprika,FREE_CONFIRMED,optional free key,50k credits/mo keyless; 300k with free key,15/min keyless; 30/min free key,"token added_at (first-indexed, NOT contract creation); pool created_at; OHLCV partial",none observed,no,no,API,pool created_at + created_at_block_number verified
Binance,FREE_CONFIRMED,no (public data),klines 1500/req; archive monthly zips,API 1200/min (docs),"fapi exchangeInfo (live, geo-blocked); archive klines+funding 2020-01+ incl. delisted",none for public data,YES (data.binance.vision monthly zips),no,API + bulk archive,fapi + api.binance.com geo-blocked 451 from this env; data-api mirror (spot) works
Bybit,FREE_CONFIRMED,no (public data),instruments 1000/page,docs-defined,launchTime/status on instruments-info (documented); live blocked,none for public data,no,no,API,403 CloudFront geo-block from this env
OKX,FREE_CONFIRMED,no (public data),instruments full list; candles 100/req,docs-defined,listTime since 2018; history-candles partial; funding recent-only,none for public data,no,no,API,public endpoints reachable from this env
Hyperliquid,FREE_CONFIRMED,no,fundingHistory 500 rows/window; meta 232 coins,observed 429 under burst; ~3/s safe,funding since 2023-05-12; candles backfilled pre-listing (zero volume),none for public data,no,no,API,isDelisted flags + funding history recover delisted coins retained in meta
Nomics,UNVERIFIED,n/a,n/a,n/a,historical dumps only if recoverable,defunct,n/a,n/a,n/a,NOT an operational dependency
