node,operation,evidence,status,verdict
16-CELL_RAW_SURFACE,DISSOLVE,chrono rho mean=0.43; reduced surfaces preferred,REPLACED_BY_REDUCED,PROMOTE_MERGE_DISSOLVE_DONE
6-CELL_OPERATIONAL_SURFACE,PROMOTE,chrono rho mean=0.40; WS2=DUAL_RESOLUTION,DUAL_RESOLUTION,PROMOTE_MERGE_DISSOLVE_DONE
8-CELL_RANK_SURFACE,PROMOTE,rank retention 0.96 vs 0.74; WS2=DUAL_RESOLUTION,DUAL_RESOLUTION,PROMOTE_MERGE_DISSOLVE_DONE
4-CELL_SURFACE,DESCRIPTIVE,reference only,NOT_SELECTED,PROMOTE_MERGE_DISSOLVE_DONE
4-STATE_BASELINE,PROMOTE,invariant topology (WS14 node 1),EARNED,PROMOTE_MERGE_DISSOLVE_DONE
MARKET_OS_STATE_SURFACE,PROMOTE,final=PASS_MECH16_TOPOLOGY_STABLE_TRANSFER_DRIFT,FREEZE_CANDIDATE,PROMOTE_MERGE_DISSOLVE_DONE
BREADTH_X_DISPERSION_STATE_TOPOLOGY,PROMOTE,4-state ordering mean rho=0.729 (42 tests),INVARIANT,PROMOTE_MERGE_DISSOLVE_DONE
STATE_X_AGE_CLOCK_LAW,DISSOLVE,WS6=UNSTABLE_CLOCK,DISSOLVE,PROMOTE_MERGE_DISSOLVE_DONE
SPATIAL_ACTIVATION_COORDINATE,PROMOTE,"HA-vs-LA prop7 gap sign per subperiod: {'2020-2021': 1, '2022': 1, '2023': 1, '2024': 1, '2025-2026': 1}",INVARIANT,PROMOTE_MERGE_DISSOLVE_DONE
AGE_RESIDUALIZED_ENTROPY,LOCAL_NODE,WS8=ENTROPY_RESPONSE_DRIFT,REGIME_MODULATED,PROMOTE_MERGE_DISSOLVE_DONE
COMMON_FORCING_COORDINATE,LOCAL_NODE,WS9=FULL_FORCING_DRIFT,REGIME_MODULATED,PROMOTE_MERGE_DISSOLVE_DONE
THRESHOLD_HIERARCHY,DESCRIPTIVE,only deep patches have estimable thresholds (shallow always-on); hierarchy not fully testable,LOCAL_ONLY,PROMOTE_MERGE_DISSOLVE_DONE
PHYSICAL_VS_SIGMA_SEPARATION,LOCAL_NODE,"corr(|ret|,sigma) mean=0.43 sd=0.21; rho(phys,std) max=0.87",REGIME_MODULATED,PROMOTE_MERGE_DISSOLVE_DONE
LOCAL_HIGHWAYS_EXITS,PROMOTE,WS16=FULL_STABILITY,INVARIANT,PROMOTE_MERGE_DISSOLVE_DONE
