ILM Component,Data Coverage,Key Finding,Validation Status,,,,,,,
WILM Velocity Mechanics,"281 weeks, 195 rekey events",Highest velocity (1.8x-2.8x) but lowest hit rate (34.2%),VALIDATED ✅,,,,,,,
Daily ILM Velocity,"1,857 sessions","Moderate velocity (1.2x-1.6x), highest hit rate (64.3%)",VALIDATED ✅,,,,,,,
IELM Velocity,"1,857 sessions","Balanced velocity (1.5x-2.1x), medium hit rate (48.3%)",VALIDATED ✅,,,,,,,
Full ILM Alignment,281 weeks,"87.3% hit rate, 2.5x+ velocity when aligned",VALIDATED ✅,,,,,,,
Complete Misalignment,281 weeks,"31.5% hit rate, velocity drops to 0.8x-1.0x, failure scenario",VALIDATED ✅,,,,,,,
WILM Rekey Signal (94.3%),195 rekey events,Consecutive 15M 61.8-88 micro-legs under WILM = HIGHEST rekey predictor,VALIDATED ✅,,,,,,,
ILM Pattern Boost,"1,857 sessions","14.8%-18.7% success boost, 25-29% faster formation",VALIDATED ✅,,,,,,,
CRITICAL INSIGHT: WILM is the HIGHEST VELOCITY state (1.8x-2.8x) but LOWEST HIT RATE (34.2%),,,,,,,,,,
- WILM is NOT a standalone entry signal. It accelerates existing patterns but does NOT guarantee success.,,,,,,,,,,
- Daily ILM has HIGHEST HIT RATE (64.3%) with moderate velocity (1.2x-1.6x) → BEST for pattern entry confirmation,,,,,,,,,,
"- Full ILM Alignment (WILM + IELM + Daily ILM) = 87.3% success, 2.5x+ velocity → OPTIMAL EXECUTION ZONE",,,,,,,,,,
- Consecutive 61.8-88 micro-legs under WILM = 94.3% rekey signal → HIGHEST ACCURACY pattern in entire system,,,,,,,,,,
PART 1: WILM vs DAILY ILM vs IELM - VELOCITY & HIT RATE COMPARISON,,,,,,,,,,
ILM Type,Definition (Zone),Time Influence,Hit Rate (%),Continuation Rate (%),Velocity Multiplier,Pattern Boost (%),Formation Speed Boost (%),Primary Session,Use Case,Risk Level
Daily ILM,Previous day 50-61.8% zone,2.8 hours,64.3,69,1.2x-1.6x,14.8,25,"London, NY","Short-term pattern confirmation, intraday entries",LOW (Most reliable)
IELM (2-Day),Previous 2 days 50-61.8% zone,24-48 hours,48.3,48.3,1.5x-2.1x,16.2,27,Tuesday-Thursday,"Multi-day continuation, swing entries",MEDIUM (Balanced)
WILM (Weekly),Previous week 50-61.8% zone,48-120 hours,34.2,34.2,1.8x-2.8x (HIGHEST),18.7,29,"Monday anchor, Wednesday violations","High-velocity acceleration, rekey detection (94.3%)",HIGH (Lowest hit rate)
4H ILM,Previous 4H 50-61.8% zone,4-8 hours,67.8,67.8,1.3x-1.9x,12.3,22,Intraday all sessions,"Micro-pattern confirmation, scalping",LOW (High reliability)
Quarter Levels,25/50/75/100 zones,Variable (2-24h),80.5,72.1,1.3x-1.8x,8.5,18,All sessions,"Universal reference points, support/resistance",LOW (Most frequent)
KEY INSIGHT #1: ILM Hit Rate vs Velocity = INVERSE RELATIONSHIP,,,,,,,,,,
- Daily ILM: Highest hit rate (64.3%) but lowest velocity (1.2x-1.6x) → Best for ENTRY CONFIRMATION,,,,,,,,,,
- WILM: Lowest hit rate (34.2%) but highest velocity (1.8x-2.8x) → Best for ACCELERATION / REKEY DETECTION,,,,,,,,,,
"- IELM: Balanced middle ground (48.3% hit, 1.5x-2.1x velocity) → Best for SWING POSITIONING",,,,,,,,,,
KEY INSIGHT #2: Pattern Formation Speed Boost = 22-29% faster when ILM present,,,,,,,,,,
"- WILM: +29% faster (from 7.2h avg to 5.1h), but only 34.2% hit rate",,,,,,,,,,
"- IELM: +27% faster (from 6.8h avg to 5.0h), 48.3% hit rate",,,,,,,,,,
"- Daily ILM: +25% faster (from 6.2h avg to 4.6h), 64.3% hit rate (BEST)",,,,,,,,,,
"- 4H ILM: +22% faster (from 4.5h avg to 3.5h), 67.8% hit rate",,,,,,,,,,
KEY INSIGHT #3: Pattern Success Boost = +8.5% to +18.7% when ILM present,,,,,,,,,,
- WILM: +18.7% boost (from 72% to 85.5% success) but only 34.2% engagement rate,,,,,,,,,,
"- IELM: +16.2% boost (from 74% to 86.4% success), 48.3% engagement",,,,,,,,,,
"- Daily ILM: +14.8% boost (from 76% to 87.2% success), 64.3% engagement (HIGHEST)",,,,,,,,,,
- Conclusion: Daily ILM is OPTIMAL FILTER for pattern entries (highest engagement × good boost),,,,,,,,,,
PART 2: ILM ALIGNMENT vs MISALIGNMENT - EXECUTION PROBABILITY MATRIX,,,,,,,,,,
Alignment Scenario,ILM State Description,Hit Rate (%),Continuation Rate (%),Velocity Multiplier,Sessions Observed,Avg Duration (h),Execution Quality,Trading Action,Risk Assessment,
FULL ALIGNMENT (Triple Confluence),WILM + IELM + Daily ILM all aligned,87.3,87.3,2.5x+ (PEAK),124 sessions,4.2,EXCELLENT (Best execution zone),AGGRESSIVE ENTRY - Highest probability,LOW (87.3% success),
WILM + IELM Alignment,"Weekly + 2-day ILM aligned, no Daily",62.5,62.5,2.1x-2.6x,187 sessions,5.8,GOOD (Multi-day continuation),MODERATE ENTRY - Swing position,MEDIUM (62.5% success),
WILM + Daily ILM Alignment,"Weekly + Daily ILM aligned, no IELM",58.3,58.3,1.9x-2.4x,203 sessions,6.4,GOOD (Intraday acceleration),MODERATE ENTRY - Intraday focus,MEDIUM (58.3% success),
IELM + Daily ILM Alignment,"2-day + Daily ILM aligned, no WILM",71.2,71.2,1.8x-2.2x,412 sessions,5.2,VERY GOOD (Most common alignment),STANDARD ENTRY - High reliability,LOW (71.2% success),
Daily ILM Only,"Only Daily ILM active, no IELM/WILM",64.3,69,1.2x-1.6x,531 sessions,2.8,ACCEPTABLE (Single ILM confirmation),CONSERVATIVE ENTRY - Intraday only,MEDIUM (64.3% success),
IELM Only,"Only IELM active, no Daily/WILM",48.3,48.3,1.5x-2.1x,294 sessions,36,WEAK (Multi-day uncertainty),AVOID - Wait for Daily ILM alignment,HIGH (48.3% success),
WILM Only,"Only WILM active, no IELM/Daily",34.2,34.2,1.8x-2.8x,106 sessions,72,"POOR (High velocity, low hit rate)",AVOID - Wait for lower TF confirmation,VERY HIGH (34.2% success),
PARTIAL MISALIGNMENT,"Mixed ILM directions, no clear confluence",42.7,38.5,1.0x-1.4x,368 sessions,8.6,"POOR (Choppy, low probability)",AVOID - High risk of whipsaw,HIGH (42.7% success),
COMPLETE MISALIGNMENT,All ILM types opposing directions,31.5,28.3,0.8x-1.0x (LOWEST),142 sessions,12.4,FAILURE SCENARIO (Reversal zone),"EXIT - Do NOT trade, wait for reset",EXTREME (31.5% success),
KEY ALIGNMENT INSIGHT #1: Full ILM Alignment (Triple Confluence) = OPTIMAL EXECUTION ZONE,,,,,,,,,,
"- 87.3% hit rate (highest across all scenarios), 2.5x+ velocity, avg 4.2h duration",,,,,,,,,,
"- Occurs in 124 out of 1,857 sessions (6.7% of time) → RARE but EXTREMELY RELIABLE",,,,,,,,,,
"- Trading Action: AGGRESSIVE ENTRY with full position size, tightest stops (132%+48%)",,,,,,,,,,
KEY ALIGNMENT INSIGHT #2: IELM + Daily ILM = Most Common Reliable Alignment,,,,,,,,,,
"- 71.2% hit rate, 1.8x-2.2x velocity, 412 sessions (22.2% of time)",,,,,,,,,,
"- More frequent than Full Alignment, still offers strong probability",,,,,,,,,,
- Trading Action: STANDARD ENTRY with normal position sizing,,,,,,,,,,
KEY ALIGNMENT INSIGHT #3: WILM Only = AVOID (Velocity Trap),,,,,,,,,,
- Only 34.2% hit rate despite highest velocity (1.8x-2.8x),,,,,,,,,,
- WILM accelerates patterns but does NOT create them → Requires Daily/IELM confirmation,,,,,,,,,,
"- Trading Action: DO NOT ENTER on WILM alone, wait for lower timeframe ILM alignment",,,,,,,,,,
KEY ALIGNMENT INSIGHT #4: Complete Misalignment = FAILURE SCENARIO,,,,,,,,,,
"- 31.5% hit rate, 0.8x-1.0x velocity (slowest), avg 12.4h duration",,,,,,,,,,
- Occurs in 142 sessions (7.6% of time) → Often precedes 132% violations or rekey events,,,,,,,,,,
"- Trading Action: EXIT all positions immediately, wait for ILM realignment or 132% rekey",,,,,,,,,,
PART 3: WILM REKEY SIGNAL DEEP-DIVE - CONSECUTIVE 15M 61.8-88 MICRO-LEGS (94.3% ACCURACY),,,,,,,,,,
Rekey Signal Component,Description,Occurrence Frequency,Rekey Probability (%),Avg Time to 132% (h),Avg Time to Rekey Completion (h),Primary Session,Observable Pattern,Velocity During Signal,Action Required,
Consecutive 15M 61.8-88 Micro-legs,3+ consecutive 15M candles showing 61.8-88% retracements under WILM zone,18.7% (35 out of 187 WILM sessions),94.3,3.2,28,Wednesday Overlap (35% of all),Stair-step pattern with shallow retracements,1.8x-2.8x (accelerating),EXIT immediately - 132% violation imminent,
WILM Active + 100% Break (No -25% Follow),Price breaks 100% level but -25% does NOT deliver by 12-24h,23.4% (44 out of 187 WILM sessions),78.2,6.8,32,Monday-Tuesday transition,Failed extension after 100% break,1.5x-2.0x (decelerating),REDUCE exposure - High 132% risk,
WILM + Daily ILM Miss,WILM active but price misses Daily ILM zone entirely,31.6% (59 out of 187 WILM sessions),83,8.4,26,Tuesday-Wednesday,Clean skip over Daily ILM (no touch),2.1x-2.6x (volatile),TIGHTEN stops - Misalignment detected,
