Metric,Value,Interpretation,,,,,
Total 132% Violations Analyzed,6660,Comprehensive dataset 2020-2025,,,,,
Average Rekey Duration,2.0 days,Rapid mean reversion,,,,,
Most Common Duration,1.0 day,Immediate (next-day) reversal most frequent,,,,,
Overall Next-Day Reversal Rate,49.4%,~50% reverse next day (market efficient),,,,,
≥80% Accuracy Patterns Found,0,No exploitable calendar anomalies,,,,,
132% VIOLATION DISTRIBUTION BY DAY OF WEEK,,,,,,,
Day of Week,Total Violations,% of All Violations,Avg Rekey Duration (Days),Median Duration,Next-Day Reversal Rate (%),Avg Range (Pips),Risk Assessment
Thursday,1501,0.225,1.99,2,0.5123,29.38,⚠️ PEAK DAY
Wednesday,1349,0.203,2.01,2,0.4796,29.45,⚠️ HIGH RISK
Friday,1342,0.202,1.96,2,0.4674,29.71,MODERATE
Tuesday,1260,0.189,1.97,2,0.5028,27.61,MODERATE
Monday,1195,0.179,1.98,2,0.5071,27.71,✓ LOWEST
KEY FINDINGS - REKEY DURATION PATTERNS,,,,,,,
✓ 132% violations typically reverse within 1-2 days (average 2.0 days),,,,,,,
"✓ Thursday shows highest frequency (22.5%), confirming Wednesday-Thursday volatility spike",,,,,,,
✓ Next-day reversal probability ~50% across all days (market efficient),,,,,,,
✓ NO single day or direction achieves ≥80% prediction accuracy,,,,,,,
✓ Rekey events are short-lived - most common duration is 1 day (immediate reversal),,,,,,,
✓ Monday violations show highest next-day reversal rate (50.7%),,,,,,,
DIRECTION + DAY OF WEEK INTERACTION PATTERNS,,,,,,,
Direction-Day Combination,Count,Avg Rekey Duration (Days),Reversal Rate (%),Notes,,,
Bearish Thursday,758,2,0.493,Most common bearish,,,
Bullish Thursday,743,1.9,0.532,Highest bullish reversal,,,
Bullish Wednesday,701,1.9,0.536,Second highest reversal,,,
Bearish Friday,686,2.1,0.439,Lowest reversal rate,,,
Bearish Tuesday,662,2,0.512,Moderate,,,
TRADING IMPLICATIONS - POST-132% STRATEGY,,,,,,,
"If 132% hit on Monday: 50.7% chance of next-day reversal, plan for 2-day rekey",,,,,,,
"If 132% hit on Thursday: 51.2% chance of reversal, highest volume day",,,,,,,
"If 132% hit on Wednesday: 47.96% reversal, often extends to Friday",,,,,,,
General Rule: Plan for 1-2 day rekey regardless of day hit,,,,,,,
No day-specific edge: All days show ~50% next-day reversal,,,,,,,
-100% AS DAILY HI/LO VERIFICATION,,,,,,,
Question:,"When -100% extension hits, does it represent the daily high or low?",,,,,,
Data Source:,"EUR/USD H1 data, 1,082 trading days (2020-2025)",,,,,,
Metric,Value,Interpretation,,,,,
-100% Extension Hit Rate,92.17%,Strong delivery rate,,,,,
-100% = Daily High (Bearish Weeks),78.3%,High correlation when bearish,,,,,
-100% = Daily Low (Bullish Weeks),81.2%,High correlation when bullish,,,,,
Combined -100% as Daily Extremum,79.8%,Strong Hi/Lo confirmation,,,,,
Average Time to -100% Delivery,48-60 hours,Wed-Thu typical delivery,,,,,
KEY FINDINGS:,,,,,,,
✓ VALIDATED: -100% extension frequently represents the daily high/low (79.8% of cases),,,,,,,
✓ Use -100% hits as daily range completion signals,,,,,,,
"✓ If -100% NOT hit by Thursday, expect 132% violation or range extension",,,,,,,
FRACTAL PATTERN ANALYSIS,,,,,,,
