output,status,recommendation,requires
consensus_loner_classification,COMPUTED,PROMOTE_TO_NEXT_CHECKPOINT,tradability_audit
peer_rejoin_catchdown,COMPUTED,PROMOTE_TO_NEXT_CHECKPOINT,classification_validation
multi_sigma_recovery_ladder,COMPUTED,PROMOTE_TO_NEXT_CHECKPOINT,conditioning_analysis
prd_definition_harmonization,RESOLVED,PROMOTE_AS_CANONICAL,none
harmonized_price_rank_matrix,COMPUTED,PROMOTE_TO_NEXT_CHECKPOINT,stability_validation
reversal_depth_true_peer_control,COMPUTED,MERGE_WITH_MECH10_REVERSAL,cross_agent_synthesis
rank_patch_basket_geometry,COMPUTED,MERGE_WITH_LF5_BASKET_GEOMETRY,none
propagation_radius,COMPUTED,PROMOTE_TO_NEXT_CHECKPOINT,spillover_validation
local_sequence_atlas,PARTIAL,PURGED_FDR_VALIDATION,subperiod_validation
shmc_shhm_peer_placement,LOCAL_NODE,KEEP_LOCAL,none
health_transition_sequences,COMPUTED,PROMOTE_TO_NEXT_CHECKPOINT,semi_markov_dwell
reversal_primitive_audit,COMPUTED,PROMOTE_TO_NEXT_CHECKPOINT,global_validation
