other_family,cell,n,absorption,propagation,containment,decoupling,note
liquidity,STRUCT_WEAK_OTHER_STRONG,419,0.0119,0.2148,0.1599,0.3437,
liquidity,STRUCT_STRONG_OTHER_WEAK,419,0.0811,0.3174,0.2601,0.2315,
liquidity,BOTH_STRONG,1359,0.1553,0.2524,0.181,0.3311,
liquidity,BOTH_WEAK,1359,0.028,0.3142,0.2634,0.2185,
rankhealth,STRUCT_WEAK_OTHER_STRONG,307,0.0,0.2345,0.1726,0.4072,
rankhealth,STRUCT_STRONG_OTHER_WEAK,307,0.0456,0.329,0.2736,0.1824,
rankhealth,BOTH_STRONG,1471,0.157,0.2549,0.1842,0.3338,
rankhealth,BOTH_WEAK,1471,0.0292,0.3025,0.2529,0.2148,
recovery,STRUCT_WEAK_OTHER_STRONG,1181,0.0135,0.1956,0.1609,0.2718,
recovery,STRUCT_STRONG_OTHER_WEAK,1075,0.1702,0.3423,0.2595,0.266,
recovery,BOTH_STRONG,703,0.0882,0.1536,0.1081,0.3713,
recovery,BOTH_WEAK,597,0.0452,0.4791,0.3936,0.201,
VERDICT,STRUCTURAL_BOTTLENECK,,,,,,"structural-integrity weakness is not rescued by strong liquidity or rank health in the conditional surface — consistent with a structural bottleneck; descriptive only, no causality claim"
